Prev Close,Open,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,High
234.85,238.8,227.6,237.9,234.11,6838036,3.517696926063916,1810434.0,0.4350394407345576,242.8
237.9,245.0,241.2,243.4,244.58,4931613,3.5092634030330583,1810434.0,0.4350394407345576,248.5
243.4,245.25,238.55,240.95,241.32,4286132,3.504654119674168,1810434.0,0.4350394407345576,245.8
240.95,239.2,237.65,240.6,240.45,2637850,3.4898468994492142,1810434.0,0.4350394407345576,242.95
240.6,243.0,243.0,259.85,255.4,4141666,3.5053281315967832,1810434.0,0.4350394407345576,259.85
259.85,263.1,263.1,280.65,272.15,7026761,3.5229582747193464,1810434.0,0.4350394407345576,280.65
280.65,284.8,269.0,271.3,278.5,10277833,3.534790755454856,1810434.0,0.4350394407345576,289.9
271.3,269.0,258.3,293.0,278.4,17168324,3.549633164895482,1810434.0,0.4350394407345576,293.0
293.0,297.0,280.1,316.45,303.93,19704184,3.556092914673436,1810434.0,0.4350394407345576,316.45
316.45,327.65,318.1,328.6,325.8,21353020,3.5603613774005054,1810434.0,0.4350394407345576,333.7
328.6,326.0,302.35,302.35,310.24,13530488,3.54589577748762,1810434.0,0.4350394407345576,326.0
302.35,303.4,278.25,302.25,296.71,25186375,3.5623945154787644,1810434.0,0.4350394407345576,312.0
302.25,303.0,302.55,326.15,312.99,16239068,3.551398234560988,1810434.0,0.4350394407345576,326.45
326.15,329.8,329.8,352.25,347.35,11686144,3.5449277687555285,1810434.0,0.4350394407345576,352.25
352.25,369.9,359.5,364.55,369.31,22110719,3.5649064281378604,1810434.0,0.4350394407345576,380.0
364.55,358.0,346.5,353.75,353.38,9759550,3.540211716958161,1810434.0,0.4350394407345576,359.0
353.75,357.0,334.4,337.95,346.8,17263869,3.556084626781694,1810434.0,0.4350394407345576,360.0
337.95,331.1,310.95,310.95,311.28,225213,3.485733407347956,1810434.0,0.4350394407345576,331.1
310.95,286.1,286.1,298.4,293.04,15931668,3.548957382922464,1810434.0,0.4350394407345576,300.8
298.4,297.1,294.0,300.05,302.75,8775778,3.5326157904425592,1810434.0,0.4350394407345576,308.9
300.05,307.7,303.1,314.85,314.54,16293725,3.551636224539257,1810434.0,0.4350394407345576,324.05
314.85,313.0,309.25,337.75,323.07,19387991,3.5573731994135502,1810434.0,0.4350394407345576,340.05
337.75,346.0,323.0,336.95,348.95,17618258,3.556841626855178,1810434.0,0.4350394407345576,360.6
336.95,322.3,311.65,332.05,320.47,15809540,3.5513064463601083,1810434.0,0.4350394407345576,339.5
332.05,340.0,340.0,357.95,352.57,16998445,3.556114026164879,1810434.0,0.4350394407345576,358.65
357.95,360.8,338.3,345.65,352.56,29547592,3.571774010823456,1810434.0,0.4350394407345576,366.0
345.65,347.5,340.3,345.05,346.2,13426369,3.5488315137769195,1810434.0,0.4350394407345576,351.9
345.05,348.0,325.25,329.15,337.06,16424665,3.5538462164198346,1810434.0,0.4350394407345576,354.65
329.15,327.0,309.2,328.0,324.41,13760253,3.5476676150170547,1810434.0,0.4350394407345576,333.85
328.0,331.0,331.0,337.2,338.54,11327281,3.543283918977447,1810434.0,0.4350394407345576,342.95
337.2,338.5,328.1,335.35,335.31,11144621,3.5425364866483244,1810434.0,0.4350394407345576,341.55
335.35,331.0,322.3,324.0,328.5,5891336,3.523310024024322,1810434.0,0.4350394407345576,337.0
324.0,321.5,318.4,328.35,324.01,6136642,3.524107291372548,1810434.0,0.4350394407345576,331.85
328.35,330.0,323.3,325.25,329.48,6652614,3.526976881301778,1810434.0,0.4350394407345576,334.9
325.25,324.05,314.0,316.75,318.6,6428965,3.5249825252987312,1810434.0,0.4350394407345576,324.05
316.75,319.6,313.3,315.9,318.08,4135346,3.511853130071591,1810434.0,0.4350394407345576,322.5
315.9,312.05,306.5,319.5,315.42,5797353,3.521635586487636,1810434.0,0.4350394407345576,324.7
319.5,320.0,315.0,317.4,317.47,3133472,3.503481996816791,1810434.0,0.4350394407345576,321.9
317.4,320.9,316.25,318.85,324.18,7802567,3.531177785522781,1810434.0,0.4350394407345576,328.4
318.85,318.0,307.1,310.1,313.25,5382755,3.519236688252112,1810434.0,0.4350394407345576,319.75
310.1,308.0,307.25,315.6,313.99,7967132,3.5308540680928626,1810434.0,0.4350394407345576,319.05
315.6,313.0,309.0,312.45,313.49,3117749,3.502950910584873,1810434.0,0.4350394407345576,316.9
312.45,312.3,308.5,314.75,312.48,4169391,3.511567800080405,1810434.0,0.4350394407345576,316.0
314.75,313.65,310.0,312.75,314.43,4041968,3.5108270502157826,1810434.0,0.4350394407345576,317.9
312.75,312.3,311.1,312.8,314.91,2617268,3.497805742883941,1810434.0,0.4350394407345576,317.8
312.8,314.8,311.0,316.45,314.74,3504803,3.5065876906783497,1810434.0,0.4350394407345576,318.0
316.45,318.5,318.0,339.45,335.76,11805354,3.5442405476495216,1810434.0,0.4350394407345576,347.45
339.45,340.75,337.1,343.8,342.89,5690548,3.5235525989716194,1810434.0,0.4350394407345576,345.85
343.8,351.0,342.1,343.9,349.35,8452065,3.535696598306538,1810434.0,0.4350394407345576,356.8
343.9,342.1,336.15,339.2,341.39,5381385,3.521773922777814,1810434.0,0.4350394407345576,345.9
339.2,343.0,334.1,337.45,341.63,5846405,3.5242401472376383,1810434.0,0.4350394407345576,346.0
